Rank,Release Group,Worldwide,Domestic,%,Foreign,%
612,Herbie Hancock: Possibilities,"$2,493","$2,493",100%,-,-
613,Rank,"$2,485","$2,485",100%,-,-
614,The Big Question,"$2,248","$2,248",100%,-,-
615,Mirage,"$2,241","$2,241",100%,-,-
616,Workingman's Death,"$2,214","$2,214",100%,-,-
617,George Bush Goes to Heaven,"$2,192","$2,192",100%,-,-
618,The Tenants,"$2,010","$2,010",100%,-,-
619,The Surfer King,"$1,990","$1,990",100%,-,-
620,FAQs,"$1,967","$1,967",100%,-,-
621,Abominable,"$1,810","$1,810",100%,-,-
622,Power and Terror: Noam Chomsky in Our Times 2006 Re-release,"$1,703","$1,703",100%,-,-
623,Headspace,"$1,650","$1,650",100%,-,-
624,The Colour of Olives,"$1,169","$1,169",100%,-,-
625,The Ister,"$1,124","$1,124",100%,-,-
626,The Empire in Africa,"$1,088","$1,088",100%,-,-
627,The Trouble with Men and Women,$967,$967,100%,-,-
628,In Her Line of Fire,$884,$884,100%,-,-
629,Doing Time for Patsy Cline,$831,$831,100%,-,-
630,Issues,$783,$783,100%,-,-
631,Uncut,$762,$762,100%,-,-
632,A New Day in Old Sana'a,$737,$737,100%,-,-
633,Serum,$440,$440,100%,-,-
634,Zyzzyx Rd,$30,$30,100%,-,-
